"Date","Price","Open","High","Low","Vol.","Change %"
"10/08/2024","1,016.12","1,032.12","1,039.25","1,011.50","","-1.73%"
"10/07/2024","1,034.00","1,033.50","1,039.00","1,026.50","147.00K","-0.36%"
"10/04/2024","1,037.75","1,045.00","1,055.25","1,036.25","136.66K","-0.79%"
"10/03/2024","1,046.00","1,053.75","1,056.25","1,041.75","126.13K","-0.95%"
"10/02/2024","1,056.00","1,055.00","1,063.75","1,042.50","158.80K","-0.12%"
"10/01/2024","1,057.25","1,055.75","1,065.50","1,045.00","165.02K","0.02%"
"09/30/2024","1,057.00","1,060.25","1,069.75","1,052.00","167.65K","-0.82%"
"09/27/2024","1,065.75","1,039.75","1,069.50","1,034.25","237.04K","2.38%"
"09/26/2024","1,041.00","1,051.75","1,064.75","1,039.75","191.09K","-1.16%"
"09/25/2024","1,053.25","1,042.00","1,054.50","1,031.25","175.63K","1.06%"
"09/24/2024","1,042.25","1,037.00","1,058.25","1,032.75","206.13K","0.29%"
"09/23/2024","1,039.25","1,012.00","1,041.75","1,012.00","220.32K","2.69%"
"09/20/2024","1,012.00","1,012.50","1,019.00","1,001.25","128.09K","-0.12%"
"09/19/2024","1,013.25","1,015.00","1,018.25","1,006.75","116.59K","-0.07%"
"09/18/2024","1,014.00","1,007.00","1,022.00","1,006.25","147.45K","0.80%"
"09/17/2024","1,006.00","1,003.75","1,011.00","1,002.00","80.30K","0.15%"
"09/16/2024","1,004.50","1,005.00","1,012.00","999.00","79.10K","1.80%"
"09/13/2024","986.75","986.75","986.75","986.75","0.05K","-0.48%"
"09/12/2024","991.50","987.50","987.50","987.50","0.00K","1.20%"
"09/11/2024","979.75","978.25","978.25","978.25","0.03K","0.23%"
"09/10/2024","977.50","980.25","981.75","980.25","0.06K","-2.25%"
"09/09/2024","1,000.00","1,000.25","1,000.25","1,000.00","0.07K","1.09%"
"09/06/2024","989.25","1,008.00","1,008.00","1,002.25","0.12K","-1.88%"
"09/05/2024","1,008.25","999.50","999.50","999.50","0.31K","-1.30%"
"09/04/2024","1,021.50","1,012.00","1,023.00","1,000.75","135.60K","0.94%"
"09/03/2024","1,012.00","1,000.00","1,024.50","995.25","184.64K","1.20%"
"08/30/2024","1,000.00","991.00","1,007.75","989.50","178.21K","0.76%"
"08/29/2024","992.50","975.50","992.75","975.00","129.74K","1.59%"
"08/28/2024","977.00","986.50","988.00","972.75","115.85K","-0.96%"
"08/27/2024","986.50","979.25","991.50","977.25","132.98K","0.59%"
"08/26/2024","980.75","965.00","982.25","960.50","132.49K","0.80%"
"08/23/2024","973.00","962.00","974.75","961.75","101.43K","1.20%"
"08/22/2024","961.50","981.00","982.00","960.25","121.77K","-2.04%"
"08/21/2024","981.50","976.00","984.75","974.00","98.49K","0.56%"
"08/20/2024","976.00","975.00","985.00","970.00","101.18K","0.00%"
"08/19/2024","976.00","957.25","977.00","957.25","117.18K","3.97%"
"08/16/2024","938.75","950.50","952.50","936.25","17.42K","-1.34%"
"08/15/2024","951.50","951.75","961.00","950.50","15.04K","-2.88%"
"08/14/2024","979.75","989.50","989.75","989.50","0.00K","-0.94%"
"08/13/2024","989.00","1,003.00","1,003.00","1,002.00","0.02K","-2.27%"
"08/12/2024","1,012.00","1,020.50","1,038.25","1,020.50","0.01K","-1.56%"
"08/09/2024","1,028.00","1,018.00","1,027.75","1,014.50","0.02K","1.81%"
"08/08/2024","1,009.75","1,023.25","1,023.25","1,010.00","0.17K","-1.03%"
"08/07/2024","1,020.25","1,020.75","1,023.25","1,017.25","0.20K","-0.80%"
"08/06/2024","1,028.50","1,033.00","1,038.25","1,028.75","0.69K","-1.51%"
"08/05/2024","1,044.25","1,040.00","1,045.00","1,021.50","0.06K","1.46%"
"08/02/2024","1,029.25","1,022.00","1,031.50","1,019.00","0.63K","0.71%"
"08/01/2024","1,022.00","1,030.00","1,034.00","1,019.50","1.38K","-0.63%"
"07/31/2024","1,028.50","1,027.25","1,048.50","1,020.50","2.65K","0.12%"
"07/30/2024","1,027.25","1,054.75","1,059.00","1,023.75","16.71K","-2.61%"
"07/29/2024","1,054.75","1,073.75","1,073.75","1,030.75","37.62K","-2.11%"
"07/26/2024","1,077.50","1,113.25","1,117.25","1,071.50","61.44K","-3.45%"
"07/25/2024","1,116.00","1,111.00","1,120.50","1,103.50","38.16K","0.45%"
"07/24/2024","1,111.00","1,115.25","1,123.25","1,104.50","34.55K","-0.58%"
"07/23/2024","1,117.50","1,116.50","1,129.00","1,111.00","51.62K","-0.02%"
"07/22/2024","1,117.75","1,100.50","1,119.75","1,100.50","40.80K","1.87%"
"07/19/2024","1,097.25","1,098.00","1,107.75","1,095.00","25.66K","-0.11%"
"07/18/2024","1,098.50","1,097.50","1,101.00","1,089.00","35.57K","0.11%"
"07/17/2024","1,097.25","1,090.00","1,102.50","1,090.00","41.68K","0.62%"
"07/16/2024","1,090.50","1,076.75","1,096.50","1,076.75","37.41K","1.16%"
"07/15/2024","1,078.00","1,100.00","1,101.00","1,075.75","35.66K","-4.98%"
"07/12/2024","1,134.50","1,134.50","1,134.50","1,134.50","0.11K","-0.72%"
"07/11/2024","1,142.75","1,145.00","1,145.00","1,137.00","0.11K","0.13%"
"07/10/2024","1,141.25","1,165.25","1,165.25","1,135.75","0.70K","-1.74%"
"07/09/2024","1,161.50","1,177.00","1,185.00","1,160.00","0.84K","-1.09%"
"07/08/2024","1,174.25","1,181.75","1,181.75","1,167.25","0.99K","-1.20%"
"07/05/2024","1,188.50","1,172.25","1,191.50","1,172.25","0.81K","1.02%"
"07/03/2024","1,176.50","1,162.25","1,180.25","1,162.00","0.92K","0.99%"
"07/02/2024","1,165.00","1,159.25","1,175.00","1,159.25","1.38K","0.47%"
"07/01/2024","1,159.50","1,148.25","1,161.75","1,148.25","1.31K","0.78%"
"06/28/2024","1,150.50","1,152.00","1,167.00","1,146.25","4.18K","-0.15%"
"06/27/2024","1,152.25","1,161.50","1,169.50","1,150.75","32.51K","-0.90%"
"06/26/2024","1,162.75","1,163.00","1,177.50","1,160.00","67.87K","-0.04%"
"06/25/2024","1,163.25","1,175.00","1,180.00","1,157.75","83.12K","-1.02%"
"06/24/2024","1,175.25","1,160.50","1,179.50","1,156.25","88.89K","2.46%"
"06/21/2024","1,147.00","1,140.25","1,152.00","1,140.25","42.36K","0.64%"
"06/20/2024","1,139.75","1,155.25","1,158.25","1,139.25","51.72K","-1.41%"
"06/18/2024","1,156.00","1,147.00","1,159.75","1,145.25","46.05K","-0.15%"
"06/17/2024","1,157.75","1,179.00","1,179.00","1,157.50","138.82K","-1.86%"
